id,title,artist,room
5033,Aphrodisiac Telephone,Artist: Salvador Dali,G376
62770,Sample cast for elevator bank decoration,Designer: George Grant Elmslie; Manufacturer: Crown Iron Works,G300
109318,"Evening, Storm Clearing Off",John Linnell,G321
59510,Wreck of the Ol' '97,"Artist: Thomas Hart Benton; Publisher: Associated American Artists, New York",Not on View
108666,Mask,,Not on View
2806,Nymphenburg,Artist: Vassily Kandinsky,G351
1738,Peace Concluded,Artist: Sir John Everett Millais,G357
1633,Female Figure,Artist: Sir Jacob Epstein,G367
1427,The Poet with the Birds,Artist: Marc Chagall,G377
9688,"Vase, one of a pair",,G310
98750,Richmond Race Cup,Designer: Robert Adam; Manufacturer: Smith &amp; Sharp; Silversmith: Daniel Smith; Silversmith: Robert Sharp,Not on View
121719,Autumn Leaves,Artist: Bernard Perlin,G359
49879,Saint James at the Battle of Clavijo,Artist: Martin Schongauer,Not on View
3903,Woman in a Bathtub,Artist: Edgar Degas,G351
1503,The Spanish Playing Cards,Artist: Joan Miró,G367
56603,Red Squash,Artist: Gregory Gillespie,Not on View
1509,The Birthday Party,Artist: John Singer Sargent,G351
9671,Odd Fellows ceremonial bow,,G331
120500,Macy's Parade,Artist: Lucille Corcos,G359
4398,View of the Colosseum from the Orti Farnesiani,Artist: Antoine-Félix Boisselier,G306
1217,Bust of George Washington,Artist: Hiram Powers,G332
2421,Cupboard,Maker: Aslak Lie; Sponsor: John Eriksen Engesaethe,G304
52346,Soldier with Horse and Attendant,Artist: Giambattista Tiepolo (Giovanni Battista Tiepolo),Not on View
8776,Diogenes,Artist: Johann Carl Loth,G308
1356,The Avenger,Artist: Ernst Barlach,G371
51935,Death on Horseback,Artist: Stefano della Bella,Not on View
1354,Bronze,Painter: Philip Guston,G375
4441,"Pair of elevator grilles, frieze, and overgrille",Designer: Louis Henri Sullivan,G300
1862,Little Crow,Artist: Henry H. Cross,G301
1378,The Gamblers,Artist: Hendrick ter Brugghen,G312
5102,They Say Minnesota Nice (Minnesota Nice Oyakepelo),Painter: Wanbli Koyake,Not on View
63571,Biedermeier secretary,,G333
99623,Draped Standing Female Figure,Artist: Elie Nadelman,G359
7565,Gumball Machine,"Artist: Wayne Thiebaud; Publisher: Parasol Press Ltd., New York",Not on View
1629,Ganymede and the Eagle,Sculptor: Bertel Thorvaldsen,G307
13190,The Procuress,Maker: Otto Dix,Not on View
4688,Art-glass panel for a bay window,Designer: William Gray Purcell; Maker: E. L. Sharretts (working for Pittsburgh Plate Glass Co.),G300
33040,Manhattan,,G378
47086,The Small War Horse,Artist: Albrecht Dürer,Not on View
96502,Side chair,,G332
1727,Portrait of Mlle. Lange as Danae,Artist: Anne-Louis Girodet de Roussy-Trioson,G306
1515,The Studio,Artist: Larry Rivers,Not on View
111675,Nautilus shell cup,Artist: Unknown,G350
118808,Ram,Artist: William Edmondson,G367
103800,The Clockmaker (Der Uhrmacher/ L'horloger),Artist: Ivan Vasilievich Kliun,G367
2730,Lady’s writing desk,Maker: Jean Gaspard Feilt,G314
4248,Fireplace surround,Designer: Attributed to John S. Bradstreet; Maker: Grueby Faience Company,G334
1163,"The Piazza San Marco, Venice",Artist: Pierre Auguste Renoir,G355
111619,St. Paul and St. Barnabas at Lystra,Artist: Willem de Poorter,G311
106095,Italian Town by the Sea,Artist: Alexandra Exter,G367
90349,Duchesse d'enfant brisée (child’s chair),Artist: Georges Jacob,G314
3908,Basin with Apollo and the Muses,Artist: Workshop of Orazio Fontana,G332
14011,Window with heraldic cartouche,,G325
4763,"Emerging Fire, Red Rock Variation: Lake Superior Landscape",Artist: George Morrison,G353
10361,The Carpet Merchant,Artist: Jean-Léon Gérôme,G357
1429,London: St. Paul's Cathedral seen from the Thames,Artist: André Derain,G371
83269,Portrait of Robert Koehler,Artist: Philip Little,G302
95926,Del colore della materia,Artist: Daniel Buren,Not on View
47,Marriage,Artist: Gari Melchers,G302
121770,John Brown Reading His Bible,Artist: Horace Pippin,G360
45,Isles of Shoals,Artist: Childe Hassam,G323
109138,Pegasus,Artist: Leo Katz; Printer: Printed at Atelier 17 (New York),Not on View
2035,Abduction of Polyxena,Artist: Pio Fedi,G357
89597,#43,Artist: Cy Thao,Not on View
119495,Octo 4240 lamp,Designer: Seppo Koho; Manufacturer: Secto Design,G378
2507,"Sparrow hawk, one of a pair",,G314
125888,Woman and Small World,Viola Frey,Not on View
2505,Portrait of a Boy,Artist: attributed to James B. Read,G304
1565,Diana with a Bow,Sculptor: Frederick William MacMonnies,G322
774,Portrait of Mlle. Hortense Valpinçon,Artist: Edgar Degas,G351
120510,Silver Storm,Artist: Arthur Dove,Not on View
1274,Golden Bird,Artist: Constantin Brancusi,G377
1277,Portrait of the Artist,Artist: André Derain,G367
1355,Study for Portrait VI,Artist: Francis Bacon,G376
1887,Madeleine I,Artist: Henri Matisse,Not on View
3057,Commode,Maker: Antione (Pierre-Antoine) Foullet,G310
121684,Torso,Artist: Arthur B. Carles,Not on View
116294,Curator's Office,Artist: Mark Dion,G378
120582,Nimbus Reclining Female Nude,Artist: William Zorach,Not on View
263,After the Reception,Artist: Douglas Volk,G302
1800,The Intrigue,Artist: James Ensor,G371
123223,Crucifixion,,G340
82237,Lady's writing desk,Designer: Mervyn E. Macartney; Maker: W. Hall; Manufacturer: Kenton &amp; Co.,G334
3220,Horse and Rider,Artist: Marino Marini,Not on View
5683,The Twins,"Artist: Dale Nichols, American, 1904-1995",G302
689,Reminiscences of 1865,Artist: John Frederick Peto,G322
1689,The Smoker,Artist: Édouard Manet,G355
802,Chestnut Trees at Jas de Bouffan,Artist: Paul Cézanne,G355
44,The White Bridge,Artist: John Henry Twachtman,G323
