session_id,timestamp,pref,artid,target
5e5d6767-dde9-4f48-a4d6-8e6d8ed7a520,2017-11-10T01:36:46Z,n,1375,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T17:43:45Z,y,518,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T17:51:38Z,y,518,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T17:55:41Z,y,1274,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T17:56:38Z,n,1356,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T18:00:48Z,n,3057,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T18:06:14Z,n,10219,False
e3412175-f360-451a-aaa5-24b0437914ae,2017-11-25T18:07:51Z,y,1417,False
cddaad87-40c8-4d0e-89f7-8578dd86848d,2017-11-18T18:40:17Z,y,518,False
0372c9e1-e778-4419-bf2a-bf2201b7c870,2017-11-18T00:09:08Z,y,9688,False
0372c9e1-e778-4419-bf2a-bf2201b7c870,2017-11-18T00:36:39Z,y,56603,False
0372c9e1-e778-4419-bf2a-bf2201b7c870,2017-11-18T00:46:54Z,y,114549,False
d0b9d07b-5d42-48fe-8e7f-fcb6157c527f,2017-12-16T19:08:50Z,y,518,False
a9d5580c-23a9-4d6b-89dc-62323954be8c,2017-10-29T17:43:32Z,y,518,True
a9d5580c-23a9-4d6b-89dc-62323954be8c,2017-10-29T17:55:39Z,y,106354,False
efa72cff-9339-4634-9edf-15d4057af3dd,2017-12-16T19:40:24Z,n,518,False
efa72cff-9339-4634-9edf-15d4057af3dd,2017-12-16T19:44:15Z,y,120729,False
efa72cff-9339-4634-9edf-15d4057af3dd,2017-12-16T19:46:55Z,y,518,False
efa72cff-9339-4634-9edf-15d4057af3dd,2017-12-16T19:50:13Z,y,123223,False
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T17:44:29Z,y,9688,False
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T17:50:10Z,n,518,False
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T17:51:48Z,y,59510,True
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T17:54:00Z,y,518,False
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T17:56:13Z,n,1411,True
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T17:58:32Z,y,452,False
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T18:00:52Z,n,5995,False
1a99efd4-4cc8-42ba-8e36-b8b9f8355f1c,2017-12-09T18:08:13Z,y,518,False
6a1ab2d2-8544-46ad-b262-76ae70375090,2017-10-26T23:49:40Z,y,518,False
6c757d90-b324-48f2-a87d-01af836f7a73,2017-11-03T22:57:38Z,n,9688,False
e91aedd6-e17c-4cc5-8250-8d1c2f60014a,2017-10-22T19:41:19Z,n,518,False
c8ceed63-a0d4-4730-8ff3-429811e155ed,2017-12-16T18:07:44Z,y,518,False
c8ceed63-a0d4-4730-8ff3-429811e155ed,2017-12-16T18:27:40Z,y,9688,False
a5d91178-a108-40a5-8468-4ffda591a51e,2018-03-10T19:14:02Z,n,9688,False
a5d91178-a108-40a5-8468-4ffda591a51e,2018-03-10T19:17:39Z,y,98513,False
a5d91178-a108-40a5-8468-4ffda591a51e,2018-03-10T19:20:32Z,y,114549,False
a5d91178-a108-40a5-8468-4ffda591a51e,2018-03-10T19:29:19Z,y,1227,False
a5d91178-a108-40a5-8468-4ffda591a51e,2018-03-10T19:31:57Z,y,44,False
3699828b-37ab-4a03-8f87-adaac7bbd603,2017-11-05T18:36:41Z,y,2806,False
3699828b-37ab-4a03-8f87-adaac7bbd603,2017-11-05T18:37:14Z,n,774,False
3699828b-37ab-4a03-8f87-adaac7bbd603,2017-11-05T18:37:15Z,y,10436,False
3699828b-37ab-4a03-8f87-adaac7bbd603,2017-11-05T18:37:16Z,y,802,False
3699828b-37ab-4a03-8f87-adaac7bbd603,2017-11-05T19:05:29Z,n,9688,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:02:19Z,y,9688,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:05:14Z,y,113688,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:13:41Z,n,1978,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:16:12Z,y,6239,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:19:10Z,n,1226,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:22:58Z,y,2507,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:26:28Z,n,136,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:34:50Z,n,1356,False
b38f4eb7-0627-4983-8d46-9847a1ad93eb,2018-02-24T19:38:51Z,y,113688,False
59a8b127-14af-4e53-aeb7-4729f592d307,2017-11-04T17:38:00Z,y,518,False
59a8b127-14af-4e53-aeb7-4729f592d307,2017-11-04T17:46:37Z,n,51935,False
b5fc4900-0b04-487a-bc69-ed2d6ba18af7,2017-12-22T00:16:14Z,n,22277,False
b5fc4900-0b04-487a-bc69-ed2d6ba18af7,2017-12-22T00:19:41Z,y,1629,False
b5fc4900-0b04-487a-bc69-ed2d6ba18af7,2017-12-22T01:11:01Z,n,518,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:08:36Z,y,518,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:11:40Z,n,99623,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:15:38Z,n,9688,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:19:19Z,y,113688,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:21:31Z,y,33040,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:24:24Z,n,99623,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:28:36Z,y,96502,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:34:06Z,y,613,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:43:49Z,y,1375,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:46:45Z,n,19689,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:50:02Z,y,518,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T00:53:02Z,n,121770,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T01:19:37Z,n,9688,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T01:22:47Z,n,123223,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T01:24:30Z,y,1417,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T01:46:13Z,y,119495,False
ff24c7d7-2a40-43f4-b9d7-2a6b71e9c983,2017-12-29T01:48:28Z,y,116294,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T19:47:51Z,y,9688,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T19:51:04Z,n,136,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:14:32Z,y,9688,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:15:25Z,y,518,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:17:03Z,n,106354,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:20:09Z,n,113688,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:23:47Z,n,9688,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:25:55Z,y,427,False
61dbe3d5-bd6c-42c6-ab52-6a0c01d290db,2018-02-24T20:37:43Z,n,3057,False
0b82008d-f7d8-4c3b-8e31-7c2f6ace6a19,2018-03-16T00:41:18Z,y,113688,False
a3052b44-beb3-42c2-b39b-a809b8d866a2,2017-10-21T17:26:18Z,n,518,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:00:41Z,n,9688,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:09:44Z,n,120500,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:29:33Z,y,1375,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:31:50Z,y,99623,True
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:33:39Z,y,56603,True
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:36:26Z,n,49879,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:38:36Z,y,118808,True
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:41:01Z,y,120525,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:44:08Z,y,63571,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:50:21Z,y,2507,False
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:51:05Z,n,113261,True
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:53:32Z,n,4398,True
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T19:57:48Z,n,136,True
67ef1982-c71e-4ec8-a4c3-acae74beb221,2017-11-11T20:04:10Z,y,10593,False
4de2d562-9b17-4c5e-b0a1-377841396bbd,2017-10-28T18:27:30Z,y,518,False
4de2d562-9b17-4c5e-b0a1-377841396bbd,2017-10-28T18:30:13Z,y,613,False
4de2d562-9b17-4c5e-b0a1-377841396bbd,2017-10-28T18:44:17Z,y,56603,False
4de2d562-9b17-4c5e-b0a1-377841396bbd,2017-10-28T18:56:24Z,y,1429,False
06d69941-327b-447a-8187-082be822a8bc,2017-11-05T18:42:08Z,n,518,False
31f23f58-7dfd-4b61-8090-fec9f5bfe5e9,2017-10-21T17:25:48Z,n,115966,False
31f23f58-7dfd-4b61-8090-fec9f5bfe5e9,2017-10-21T17:28:08Z,y,109118,False
